а: a
змяняць: change
змяняюцца: change
знайсці: find
знаць: know
значыць: mean
знаю: know
знаёмстве: acquaintance
знутры: inside
зніжку: discount
зорак: stars
зорка: star
зоркі: stars
зразумеў: understood
зялёнае: green
зялёная: green
зялёную: green
зялёны: green
зялёныя: green
зямлю: earth
зямля: earth
зямлі: earth
зіма: winter
кава: coffee
кавалак/шматок: piece
кавы: coffee
каго: who
кажа: says
кажа/паказвае: tells/shows
казаць/паказваць: talk/show
калбаса: sausage
калбасы: sausage
каля: near
калі: when
камень: stone
камені: stones
камп'ютар: computer
камп'ютараў: computers
камп'ютары: computers
каму: who
камфортнае: comfortable
камфортныя: comfortable
камяні: stones
кансерва: canned food
кантралюе: controls
каню: horse
кароткая: short
кароткія: short
карта: map
карце: map
карціну: picture
карціны: pictures
кастрычнік: october
катоў: cats
кату: cat
каты: cats
каштанавы: chestnut-colored
каштанавыя: chestnut-colored
каштоўны: valuable
кашулю: shirt
кашуля: shirt
квадрат: square
квадрата: square
кветка: flower
кветкі: flowers
квітнее: blooms
квітнець: bloom
квітнеюць: bloom
кніга: book
кнігу: book
кнігі: books
кожнай: each
кожны: each
кола: bicycle
кола/ровар: bicycle
колер: color
колераў: colors
колькі: how many
компас: compass
комплексная: complex
конь: horse
костак: bones
костку: bone
косткі: bones
кот: cat
красавік: april
краявід: landscape
краі: country
кропка: dot
круг: circle
крэсла: chair
кубак: cup
кубка: cup
куды: where
культурай: culture
куплю: buy
купляе: buying
купляем: buying
купляюць: buying
купіла: bought
купіць: buy
кухар: cook
кухарам: cook
кухню: kitchen
кухня: kitchen
кім: who
кіно: cinema
кіслая: sour
кіслы: sour
лампа: lamp
лапу: paw
ласка: please
лекар: doctor
лекарам: doctor
лепш: better
лес: forest
лета: summer
ложак: bed
ложкам: bed
лыжка: spoon
люблю: love
любові: love
любоў: love
любяць: love
любім: love
любімы: favorite
любіць: love/like
любіш: love
людзей: people
людзям: people
людзі: people
люстэрка: mirror
люстэркам: mirror
люты: february
лютым: february
ляжаць: lie
ляжыць: lies
лянівы: lazy
лянівыя: lazy
лімон: lemon
лінія: line
лініі: line
ліпень: july
ліст: leaf
лістапад: november
лісты: letters
лісце: leaves
м: am
м/с: m/s
магазін: shop/store
магазіна: shop/store
магазіне: shop/store
магчыма: maybe/can
мае: has
маеш: have
май: may
малады: young
маладыя: young
малака: milk
малако: milk
малая: small
маленькая: small
малы: small
малюе: draws
малюем: draw
малюю: draw
маляваць: draw
мароз: frost
марозу: frost
масла: butter
маслам: butter
мастак: artist
масы: mass
матэматыка: mathematics
маці: mother
маю: have
маюць: have
мая: my
маё: my
маёй: my
маім: my
маўчаць: silent
маўчыць: silent
менш: less
месяц: month
месяцам: moon
метад: method
меў: had
меў/мела: had
мне: me
многа: many
многімі: many
мова: language
мовай: language
мове: language
мову: language
мовы: languages
можа: may
можаце: can
можна: possible
мозг: brain
мой: my
мокрая: wet
мокры: wet
мора: sea
мост: bridge
моста: bridge
мосце: bridge
моцна: strongly
моцная: strong
моцны: strong
мудрая: wise
мудры: wise
мудрыя: wise
муж: husband
мужам: husband
мужчын: men
мужчына: man
мужчынскі: male
музыка: music
музыку: music
мы: we
мыш: mouse
мышы: myši
мядзведзь: bear
мядзведзю: bear
мядзведзям: bear
мяккі: soft
мяне: me
мяса: meat
між: between
мілы: pleasant
мілыя: pleasant
міска: bowl
місцы: bowl
на: on
нага: leg
нагу: foot
нагі: leg
над: above
надвор'е: weather
нажом: knife
нажы: knives
налева: left
намі: us
напоўнены: filled
напоўнілася: filled
направа: right
народ: nation
народаў: nations
нас: us
настаўнік: teacher
настаўнікам: teacher
настаўніца: teacher
настаўніцай: teacher
насіць: wear
насіў: wore
натуральная: natural
нашымі: our
не: no
неба: sky
небе: sky
нельга: no
немец: german
несці: carry
новае: new
новая: new
новую: new
новы: new
новыя: new
нож: knife
нос: nose
носім: wear
носіць: wears
ноч: night
нудная: boring
нуль: zero
нядзеля: sunday
нядобра: bad
няма: no
нямецкай: german
нясе: carries
нясуць: carry
ніжняе: underwear
нізкая: low
нізкі: low
нічога: nothing
ніякі: no
офісе: office
п'е: drinks
п'ем: drink
п'еш: drink
па: by
паветра: air
пад: under
падае: falling
падарожнічае: travels
падарожнічаць: travel
падаць: fall
падаючае: falling
падлозе: floor
падобны: similar
падпісаны: signed
падушка: pillow
пайшлі: went/walked
пайшоў: went
паказаць: show
паказвае: shows
паказваць: show
пакой: room
пакоя: room
пакоі: room
пакупнік: customer
палец: finger
паляк: pole
палякам: pole
палямі: fields
палёў: fields
паліто: coat
паліца: shelf
паліцэйскі: policeman
панядзелак: monday
панядзелка: monday
папера: paper
паперы: paper
парк: park
партрэт: portrait
пасля: after
пасярэдзіне: middle
патрабаваць: need
патрабуе: needs
патэльня: pan
патэльні: pan
пах: smell
пахне: smells
пахнуць: smell
паходжанне: origin
пачуў: heard
паўднёвага: southern
паўднёвы: south
паўднёвыя: southern
паўночна-заходні: northwestern
паўночны: northern
паўтары: repeat
пельмень: dumpling
перад: before
перапалохана: frightened
перапалоханы: frightened
перац: pepper
перцу: pepper
першай: first
першы: first
першым: first
песні: songs
пешшу: walk
плаваем: swim
плаванне: swimming
плаваць: swim
план: plan
плашч: coat
плошча: square/market
плошчы: square/market
позна: late
поле: field
польшча: poland
польшчы: poland
полі: field
потым: then
поўдзень: south
поўдні: south
поўнач: north
поўначы: north
поўная: full
поўны: full
пра: about
прабач: pardon
прабачце: excuse
прагулку: walk
прадаваць: sell
прадавец: seller
прадае: sells
прадаўцу: seller
прадмет: subject
праз: through
праспект: avenue
працавалі: worked
працаваць: work
працоўны: worker
працу: work
працуе: works
працуем: work
працы: work
працягласць: length
праўду: truth
проста: just
просты: simple
прывітай: greet
прывітанне: hello
прыгожа: beautifully
прыгожае: beautiful
прыгожая: beautiful
прыгожы: beautiful
прыгожыя: beautiful
прыемны: pleasant
прынясе: bring
птушка: bird
птушкам: birds
птушцы: bird
пункт: point
пустая: empty
пытае: asks
пытаць: ask
пытаю: ask
пяро: pen
пяром: pen
пятай: fifth
пятая: fifth
пятнаццаць: fifteen
пятніца: friday
пятніцай: friday
пятніцу: friday
пяты: fifth
пяць: five
пяцьдзясят: fifty
пяцьсот: five hundred
піва: beer
піжама: pajama
пісар: writer
пісаць: write
піцу: pizza
піць: drink
піша: writes
пішам: write
пішу: write
р: r
рабочы: worker
рабілі: did
рабіць: do/make
рабіў: did
радасна: joyfully
радасны: joyful
радасць: joy
радыё: radio
разбітае: broken
разбіты/зламаны: broken
размова: conversation
размову: conversation
разумею: understand
разы: times
рака: river
раку: river
ракі: river
раманы: novels
раніца: morning
раніцай: morning
раніцы: morning
растуць: grow
расце: grows
расці: grow
расіі: russia
рацэ: river
робіць: makes
ровар: bicycle
ровараў: bicycles
ровары: bicycles
род: kind
роўная: straight
роўны: straight
рубель: ruble
рублёў: rubles
ружа: rose
рука: hand
рукавіца: glove
рукавіцаў: gloves
рукавіцы: gloves
рукі: hands
рускай: russian
рускую: russian
рускі: russian
рускім: russian
рыба: fish
рыбе: fish
рыбу: fish
рэакцыя: reaction
рэгіён: region
рэжа: cuts
рэзаць: cut
рэстаран: restaurant
рэч: thing
рэчаў: things
рэчы: things
с: with
са: from
сабак: dogs
сабака: dog
сабаку: dog
сабакі: dogs
сабе: himself
сабой: himself
сакавік: march
салодкая: sweet
салодкую: sweet
салодкі: sweet
салодкія: sweet
сам: himself
сарамліва: ashamed
сарамлівы: ashamed
сваю: my
сваёй: my
свежая: fresh
свежы: fresh
светлы: light
светлыя: light
свеціць: shines
свой: my
святлафор: traffic light
святло: light
свяціць: shine
сезон: season
сезонам: season
сезоны: seasons
секунд: seconds
секунда: second
сем: seven
семдзесят: seventy
семнаццаць: seventeen
семсот: seven hundred
серада: wednesday
сераду: wednesday
серыял: series
сесці: sit
складаны: complex
скрыня: drawer
скрыні: drawer
скура: skin
слабы: weak
слабыя: weak
славянскай: slavic
славянскую: slavic
славянін: slav
славянінам: slav
словы: words
слухаць: listen
слухаюць: listening
сліва: plum
слівовіцу: plum
сліў: plums
смачная: tasty
смачную: tasty
смелы: brave
смутак: sadness
смяецца: laughs
смяяцца: laugh
снег: snow
снегам: snow
снегу: snow
снежань: december
снежні: december
сну: sleep
сняданак: breakfast
сок: juice
соку: juice
соль: salt
солі: salt
сон: dream
сонца: sun
сонцаў: suns
сонцы: sun
сорак: forty
сорам: shame
соты: hundredth
спакой: peace
спакойна: peacefully
спакойнага: peaceful
спартсменаў: sports
спаць: sleep
спелая: ripe
спелы: ripe
спорт: sport
спортам: sport
спорту: sport
спорце: sports
спрабаваць: try
спрабуе: trying
спявае: sings
спяваць: sing
спяваю: sing
спіць: sleeps
срэбны: silver
стадыён: stadium
стадыёне: stadium
стайні: stable
стала: became
стале: table
сталом: table
старая: old
старое: old
старую: old
стары: old
старыя: old
стаяць: stand
стаім: stand
стаіць: stands
сто: hundred
стол: table
стомлены: tired
страва: dish
страву: dish
страх: fear
страўнік: stomach
студзень: january
студзені: january
ступня: foot
ступні: feet
субота: saturday
сукенку: dress
сумку: bag
сумна: sadly
сумны: sad
сусвет: universe
сусвеце: universe
суха: dry
сцвярджэнне: statement
сцяна: wall
сцяне: wall
сшытак: notebook
сын: son
сынам: son
сыр: cheese
сыру: cheese
сэрца: heart
сэрцы: heart
сябар: friend
сябе: himself
сябрам: friend
сябрамі: friends
сяброў: friends
сябры: friends
сядае: sits
сядзенне: seat
сядзець: sit
сядзіць: sitting
сям'я: family
сям'ёй: family
сям'і: family
сямі: seven
сярэдзіне: middle
сястра: sister
сястрой: sister
сястру: sister
сёмы: seventh
сёння: today
сімвалам: symbol
сінюю: blue
сіняе: blue
сіні: blue
сінія: blue
сітуацыю: situation
табе: you
табой: you
таго: that
так: yes
таксама: also
талерка: plate
там: there
тамтае: those
тамтая: those
тамты: those
таму: then
танцаваць: dance
танцую: dance
тая: that
твар: face
тваю: your
тваёй: your
тваім: your
твой: your
творчасць: creativity
то: that
тое: that
той: that
толькі: only
торба/сумка: bag
торбе: bag
торг: market
торзе: market
тоўсты: fat
трава: grass
траву: grass
тры: three
трыкутнік: triangle
трымае: holds
трымаць: hold
трынаццаць: thirteen
трыста: three hundred
трыццаты: thirtieth
трыццаць: thirty
трэба: need
трэніраваць: train
трэніруе: trains
трэцяй: third
трэці: third
тут: here
туш: ink
тую: that
ты: you
тыдзень: week
тыдня: week
тыдні: week
тым: that
тысяча: thousand
тысячны: thousandth
тысячы: thousand
тэніс: tennis
у: in
убачыш: see
увечары: evening
увосень: autumn
ужо: already
узімку: winter
улада: power
улетку: summer
унук: grandson
унукам: grandson
унучка: granddaughter
унучкай: granddaughter
уставаць: rise
устае: rises
усход: east
усходняя: eastern
усходні: eastern
уцякаць: run
уцякаў: ran
учора: yesterday
факты: facts
фантан: fountain
фарбамі: paint
фляжка: bottle
фляжку: bottle
фляжкі: bottles
форма: shape
форма/выгляд: shape/figure
форму: shape
формы: shapes
франка: frank
футбол: football
футболка: t-shirt
футболку: t-shirt
фігура: figure
фігуры: figures
фільм: film
хавае: hides
хаваць: hide
хакей: hockey
халоднае: cold
халодная: cold
халодны: cold
харват: croat
харватка: croat
харваткай: croat
харвацкай: croatian
хацець: want
хачу: want
хвілін: minutes
хвіліна: minute
хлеб: bread
хлеба: bread
хлопчык: boy
хлопчыкаў: boys
хлопчыкі: boys
хмар: clouds
хмара: cloud
хмарна: cloudy
хмары: clouds
холадна: cold
хоча: wants
хочам: want
хочаш: want
хто: who
худая: thin
худы: thin
хутка: quickly
хуткасць: speed
хуткі: quick
цана: price
цану: price
царква: church
цела: body
целе: body
цукар: sugar
цукру: sugar
цэнтра: center
цэнтры: center
цябе: you
цягнік: train
цягнікоў: trains
цяжкая: heavy
цяжкі: heavy
цяжкія: heavy
цялеснага: body
цярпець: suffer
цячэ: flows
цёмная: dark
цёмны: dark
цёмныя: dark
цёпла: warm
цёплая: warm
цёплы: warm
цёплыя: warm
цётка: aunt
цёткай: aunt
ці: or
цікавая: interesting
цікавы: interesting
ціхая: quiet
ціхі: quiet
ціхія: quiet
чаго: what
чай: tea
чалавек: person
час: time
часам: sometimes
часта: often
часу: time
чатырнаццаць: fourteen
чатыры: four
чатырыста: four hundred
чацвер: thursday
чацвёртай: fourth
чацвёрты: fourth
чаю: tea
чорнае: black
чорная: black
чорны: black
чорныя: black
чуе: hears
чуць: hear
чым: than
чырвонае: red
чырвоная: red
чырвоны: red
чырвоныя: red
чыстае: clean
чыстая: clean
чытае: reads
чытаеш: read
чытаць: read
чытаю: read
чэк: receipt
чэрвень: june
шалік: scarf
шапка: hat
шапку: hat
шапкі: hat
шаснаццаць: sixteen
шафа: wardrobe
шафёр: driver
шахматы: chess
шкада: pity
шкарпэтка: sock
шкарпэткі: socks
школа: school
шлях: path/way
шлях/дарога: path/way
шмат: much
шостай: sixth
шосты: sixth
штаны: trousers
што: what
шчырая: sincere
шчыры: sincere
шые: sews
шыеш: sew
шырокае: wide
шырокая: wide
шыць: sew
шыю: sew
шэры: grey
шэрыя: grey
шэсць: six
шэсцьдзясят: sixty
шэсцьсот: six hundred
шэсцьсотны: six hundredth
эмоцыя: emotion
энергіі: energy
я: i
яблык: apple
ягада: strawberry
ягады: strawberries
яго: him
ядзім: eat
яе: her
яйка: egg
яйкі: eggs
як: as
якбы: as if
яму: him
яна: she
яно: it
яны: they
ясі: eat
яшчэ: still
ён: he
ён/яна/яно: he/she/it
ёсць: is
і: and
ідзе: goes
ідзем: go
ідзеце: go
ідзеш: go
ідзі: go
ідзіце: go
ідуць: go
ім: them
імя: name
інжынер: engineer
інжынерам: engineer
іх: their
іхняга: their
ішла: went/walked
ішло: went/walked
ішлі: went/walked
ішоў: went/walked
ў: in
ўвечары: evening
ўжо: already
ўзімку: winter
ўлетку: summer
ўпэўнены: sure
ўстае: rises
ўсход: east
ўсходзе: east
ўсё: everything
