a: jedna
fifty: pięcdzését
figure: figura
figures: figurë
filled: wëpłniony
film: film
find: nalezc
finger: palec
first: pierszi
fish: rëba
five: pięc
flame: płomien
floor: pòdwoga
flower: kwiat
flowers: kwiatë
flows: płënie
food: jestk
foolish: głëpi
foot: noga
football: futbal
footwear: òbùwie
for: dlô
forest: las
fork: widelc
forks: widelczi
forty: sztërdzését
fountain: zdrój
four: sztëri
fourteen: sztërnôsce
fourth: sztwôrti
frank: frank
fresh: swiéżi
friday: piątk
friend: kamrad
friends: kamradë
frightened: przestraszóny
frog: żaba
from: òd
frost: mrozek
frying: prażëc
full: pełny
game: grë
german: niemiecczi
germany: Niemcë
gift: dar
girl: dzéwczë
give: dac
gives: dôwô
glass: szklanka
glove: rãkawica
gloves: rãkawicë
go: jic
go/drive: jic
god: bóg
goes: idze
going: jidzen
gone: pòszłë
good: dobri
granddaughter: wnuczka
grandfather: starka
grandmother: starka
grandson: wnuk
grapes: winogrona
grass: trôwa
green: zelonô
greener: barżi zelony
greet: witac
greeting: witanié
greetings: witania
grey: szari
ground: zemia
group: grëpa
grow: rosnąc
grows: rosnie
guitar: gitara
had: miał
hair: włosë
hand: rãka
hands: rãce
hang: wisëc
hangs: wiszi
has: mô
hat: czapka
have: miec
having: miéni
he: on
he/she/it: on/òna/òno
head: głowa
health: zdrowie
healthy: zdrowi
healthy/hello: zdrowi
hear: słëszëc
hears: słëszë
heart: serce
heat: ciepło
heats: grzeje
heavy: cãżczi
hello: witôj
help: pòmòc
helped: pòmògł
helps: pòmôgô
her: ji
here: tu
hide: chòwac
hides: chòwô
high: wësoczi
him: mù
himself: są
his: jegò
hockey: hokej
hold: dzérżëc
holds: dzérżi
home: dodóm
honduras: Hondùras
horse: kòń
hot: gòrący
hotel: hotel
hour: gòdzëna
house: dodóm
houses: dodómë
how: jak
hundred: sto
hundredth: sotny
hurt: bólëc
hurts: bólë
husband: chłop
i: jô
i'm: jô jem
if: jesli
important: wôżny
in: w
ink: tint
inside: zôs
interesting: jinteresëjący
into: do
is: je
isn't: nié je
it: to
january: stëcznik
jealous: zazdrosny
joy: radosc
joyful: radosny
joyfully: radosno
juice: sùk
july: lëpińc
june: czerwińc
just: akùrôt
kind: zort
kitchen: kùchnia
knife: nóż
knives: nożë
know: znac
known: znóny
knows: znaje
lake: jezero
lamp: lampa
landscape: pejzaż
language: jãzëk
languages: jãzëczi
larger: wiãkszi
last: òstatni
late: pózno
laugh: smiac
laughs: smieje
lazy: leniwi
lead: prowadzëc
leads: prowadzë
leaf: lëst
learn: ùczëc
learning: ùczenié
leaves: òpùszczô
left: lewô
leg: noga
legs: nodżi
lemon: citrona
less: mni
let's: niech
letters: lëtrowie
library: biblioteka
lie: kłamac
lies: leżi
light: swiatło
like: lubic
likes: lubi
limit: grańca
limited: ògrańczony
line: liniô
listen: słëchac
listening: słëchanié
live: mieszkac
lives: mieszkô
long: dłudżi
looking: wëzdrzący
lot: wiele
louder: głośni
love: miłosc
love/like: lubic
lunch: òbiôd
lying: kłamac
made: zrobiony
makes: robi
male: męsczi
man: chłopa
many: wiele
map: mapa
march: strëmiank
market: rënk
mass: masa
mathematics: matematika
may: maja
maybe: mòże
maybe/can: mòże
me: mie
mean: znacëc
meat: miãso
melon: melon
men: chłopcë
method: metoda
middle: strzódk
midnight: północ
milk: mleko
minute: minuta
minutes: minutë
mirror: zdrzadło
monday: pòniédzałk
month: miesąc
moon: ksãżëc
more: więcej
morning: ranié
mother: matka
mountain: góra
mountains: górë
mouse: mësz
movies: filmë
much: wiele
music: mùzyka
my: mój
myši: mëszë
name: miono
nation: naccja
nations: naccjë
natural: nôtëralny
near: bliskò
nearest: nabliskati
necessary: pòtrzebny
need: pòtrzeba
needed: pòtrzebny
needs: pòtrzëbùje
new: nowi
night: noc
nine: dzewiãc
nineteen: dzewiãtnôsce
ninety: dzewiãcdzését
ninth: dzewiąti
no: nié
north: norda
northern: nordowi
northwestern: nordozôpôdni
nose: nos
not: nié
note: nota
notebook: zeszët
notes: notë
nothing: nic
novels: nowelë
november: lëstopadnik
now: terô
oak: dãb
october: pazdzérznik
of: òd
office: bióro
often: czãsto
old: stôri
on: na
one: jeden
only: blós
open: òtemkłë
or: abò
orange: pòmarańcza
oranges: pòmarańcze
other: jinszi
others: jinszi
our: nasz
outline: òbrës
over: nad
paint: malowac
painting: malowanié
pajama: piżama
pajamas: piżamë
pan: patelnia
pancake: blënk
paper: papiér
pardon: przebaczëc
parent: starëc
park: park
past: przëszłosc
path/way: drodze
peace: spòkój
peaceful: spòkójny
pear: grëszka
pears: grëszczi
pen: długopis
people: lëdze
pepper: pèprz
perhaps: czëli
person: persòna
picture: òbrôz
pictures: òbrôzë
piece: kùsk
pillow: pòduszka
pity: lëtosc
pizza: pizza
plan: plan
plate: tôlerz
play: grac
playing: granié
plays: grô
pleasant: przëjemni
please: proszã
plum: slëwka
plums: slëwczi
point: pùnkt
poland: Pòlskô
pole: Pòlôch
policeman: pòlicjant
portrait: pòrtret
possible: mòżlëwi
pot: garnek
prepare: ùrzadzëc
preparing: ùrzadzëc
price: cena
proud: zôs
proudly: zôs
put: pòłożëc
putting: kłasc
quick: chùtczi
quickly: chùtkò
quiet: cëchi
radio: radio
rain: deszcz
raining: deszczëk
ran: bieżôł
reaction: reakcjô
read: czëtac
reading: czëtanié
ready: gòtowi
receipt: rachùnk
red: czerwionô
region: region
regions: regionë
repeat: pòmòc
rest: òdpòczëwac
restaurant: restauracjô
return: wrócëc
returns: wracô
rich: bògati
right: prawô
ripe: dojrzały
rise: pòdwiesc
rises: pòdwiesc
river: rzéka
road: droga
room: pòkój
rose: róża
ruble: rubel
rubles: ruble
run: bieżec
running: bieganie
runs: bieżi
russia: Ruska
russian: rusczik
sad: smùtny
sadly: smùtno
sadness: smùtnosc
salt: sól
saturday: sobòta
sausage: kòłbasa
says: gôdô
scarf: szalik
school: szkòła
sea: mòrzé
season: sezón
seasons: sezónë
seat: sedzenié
second: drëdżi
seconds: sekùndë
security: bezpieczéństwò
see: widzec
sees: widzy
sell: przedac
seller: przedôwca
sells: przedôwô
september: séwnik
series: seriô
sets: zestawiô
seven: sétmë
seventeen: sétmnôsce
seventh: sétmi
seventy: sétmëdzését
sew: szëc
sewing: szëcé
shame: wstid
shape: ksztôłt
shapes: ksztôłtë
sharp: òstri
she: òna
shelf: półka
shine: swiecëc
shines: swiece
shining: swiecący
shirt: kòszëla
shoe: bùt
shoes: bùtë
shop: sklep
shop/store: sklep
short: krótczi
shorter: krótczi
shorts: szortë
show: ùkôzac
shows: ùkazywô
side: strona
sides: stronë
signed: pòdpisóny
silent: cëchi
silver: strzébrzny
similar: pòdobny
simple: prosty
sincere: szczërze
sing: spiéwac
singing: spiéwanié
sister: sostra
sit: sedzec
sitting: sedzenié
situation: situacjô
six: szesc
sixteen: szesnôsce
sixth: szósty
sixty: szescdzését
skin: skóra
sky: niebo
slav: Słowión
slavic: słowiańsczi
sleep: spac
sleeps: spi
small: môłi
smart: mądri
smell: wòniac
smells: wòniô
smooth: gładczi
snow: snieg
so: tak
sock: skarpeta
socks: skarpetë
soft: miętczi
sometimes: czasã
son: syn
songs: piesni
soon: zôs
soul: dëszô
sour: kwasny
south: pôłnié
southeast: pôłniowò-pòrénkòwi
southern: pôłniowi
southwest: pôłniowò-zôpôdni
speak: gôdac
speaks: gôdô
speed: chùtkosc
spirit: dëch
spoke: gôdał
spoon: łëżka
sport: sport
sports: sportë
spring: jare
square: kwadrat
square/market: rënk
stable: stabilni
stadium: stadion
stand: stac
standing: stanié
stands: stoji
star: gwiôzda
stars: gwiôzdë
station: stacjô
stays: òstôwô
still: dali
stomach: żołôdk
stone: kam
stones: kamienie
stops: stôwa
straight: prosto
strawberries: trëskawczi
strawberry: trëskawka
street: ùlica
strong: môcny
stronger: môcniészë
strongly: môcno
student: sztudént
students: sztudéntë
stupid: głëpi
subject: przédzmiôt
suffer: cierpiec
sugar: cuker
summer: latkò
sun: słunéczkò
sunday: niedzela
suns: słunéczkò
sure: gwësny
sweet: słodczi
swim: pławic
swimming: pławienié
symbol: simbòl
syr: syr
t-shirt: kòszëla
table: stół
talk: gôdac
talking: gôdanié
talks: gôdô
tall: wësoczi
taller: wësoczészë
taller/higher: wësoczészë
talt: gôdał
tasty: smaczny
tea: herbatka
teacher: ùczëcél
tells: gôdô
ten: dzese
tennis: tenis
tenth: dziesiąti
than: jak
thank: dzãkòwac
thanks: dzãkùjã
that: to
the: ta
their: jich
them: jima
then: zôs
there: tam
these: te
they: òni
thin: cënczi
thing: rzecza
things: rzeczi
think: dëmac
thinner: cënczi
third: trzeci
thirteen: trzënôsce
thirtieth: trzëdzesti
thirty: trzëdzését
this: to
those: ti
thousand: tësąc
thousandth: tësączny
three: trzë
through: przez
thursday: czwiôrtk
time: czas
times: czasy
tired: zmãczony
to: do
today: dzys
tomorrow: jutro
too: téż
towards: w stronã
traffic: rëch
train: ban
trains: banë
travel: pùtëk
travels: pùtëje
tree: drzéwò
trees: drzéwò
tremor: drżenié
triangle: trójkąt
troubling: niepokòjący
trousers: bëlice
truth: prawda
try: próbòwac
trying: próbòwanié
tuesday: wtórk
twelfth: dwunôsty
twelve: dwunôsce
twenty: dwadzését
two: dwa
ugly: brzëdczi
uncle: wùjk
under: pòd
understand: rozùmiéc
underwear: spiżizna
unit: jednôstka
universe: wszechswiat
until: do
us: nama
vacation: ferie
valley: dolëna
valuable: cãżôrowi
very: baro
vineyard: winnica
vlad: vlad
vodka: wódka
walk: chòdzëc
walking: chòdzenié
wall: scana
want: chciec
wardrobe: szeflôdka
warm: ciepłi
warms: ciepłi
was: béł
watch: òbzërac
watching: òbzëranie
water: wòda
way: droga
we: më
weak: snôdzni
wear: nosëc
wearing: noszenié
wears: nosy
weather: pògòda
wednesday: strzoda
week: tidzéń
weekend: kòńc tidzénia
welcome: witôj
well: dobri
went: pòszëł
went/walked: pòszëł
were: bëli
west: zôpôd
western: zôpôdni
wet: mòkri
what: co
when: czedë
where: dze
which: jaczi
white: biôłi
who: chto
wide: szeroczi
wife: białka
will: bãdzë
wind: wiater
window: òkno
windows: òkna
wine: wino
winter: zëma
wise: mądri
wiser: mądriészë
with: z
within: w
without: bez
wolf: wòlk
woman: białka
women: białczi
wood: drzéwò
words: słowa
wore: nosëł
work: robota
worker: robòtnik
working: robienié
works: robi
would: chcemë
write: pisac
writer: pisôrz
writes: pisze
writing: pisanié
year: rok
year's: rokù
yellow: żółtô
yes: jo
yesterday: wczoraj
you: të
young: młodi
your: twòje
zero: zérô
