a: a
drogie: expensive
drugi: second
drugij: second
drzewa: trees
duch: spirit
duge: long
dugi: long
dugo: long
dusza: soul
dusze: soul
dwa: two
dwadzieścia: twenty
dwanaście: twelve
dwanaściyj: twelfth
dwasetny: two hundredth
dwie: two
dwieście: two hundred
dyszcz: rain
dyszczu: rain
dziecha: child
dziecie: children
dziesiyńć: ten
dziesiątyj: tenth
dziewiyntnascie: nineteen
dziewiyńć: nine
dziewiyńćdziesiōnt: ninety
dziewiyńćset: nine hundred
dziewiyńćsetny: nine hundredth
dziewiōnty: ninth
dziewiōntyj: ninth
dzisiŏj: today
dziyniym: day
dziynkuja: thank
dziynnik: diary
dziyćmi: children
dziyń: day
dōcie: to
dōm: home
dōmb: oak
dōmbowi: oak
dōmu: home
dōmym: home
dōmōm: home
dōmōw: homes
dōsz: went
dŏ: to
dŏchtōr: doctor
dŏchtōrym: doctor
dźwiyrzach: door
dźwiyrze: door
emocijo: emotion
familijo: family
familijōm: family
farba: paint
farbōw: paint
fest: very
figura: figure
figury: figures
film: film
flaszek: bottles
flaszka: bottle
flaszke: bottle
flaszki: bottle
fontanna: fountain
forma: shape
formy: shapes
franka: frank
fusbal: football
gacie: shorts
galoty: trousers
garnek: pot
garnku: pot
gibkość: speed
gitara: guitar
gladko: smooth
glōndajōm: looking
glōndo: looking
godać: speak
godka: language
godo: speaks
godosz: speak
godoł: spoke
godzina: hour
godōm: speaking
godōmy: speak
godźinie: hour
gorōncy: hot
gotowy: ready
gowa: head
gowie: head
gra: game
gramy: play
grać: play
gro: plays
gruby: fat
grudniu: December
grudziyń: December
grupōm: group
gruszka: pear
gruszki: pears
grzeje: heats
grzoć: heat
grōm: game
gwiazd: stars
gwiazda: star
gwiazdy: stars
głupi: stupid
głupot: foolish
gōra: mountain
gōrami: mountains
gŏdka: language
gŏdki: languages
heja: hello
hokej: hockey
honduras: Honduras
hotel: hotel
hotela: hotel
i: and
ida: go
idymy: go
idzie: goes
idzie/możno: maybe/can
idziecie: go
idziesz: go
idzymy: go
idōm: go
idź: go
inżyniyr: engineer
inżyniyrym: engineer
izba: room
izbie: room
izby: rooms
ja: I
jabłko: apple
jadōm: eating
jagoda: strawberry
jagody: strawberries
jajca: eggs
jajco: egg
jak: as
jakby: if
jasne: light
jasno: bright
je: is
jechać: travel
jedenaście: eleven
jedna: one
jedno: one
jednotka: unit
jednym: one
jedyn: one
jedynaściyj: eleventh
jedzie: drives
jedzynia: food
jedzynie: food
jedzyniym: food
jego: his
jeiś: eat
jej: her
jejich: their
jes: is
jesiyń: autumn
jesteś: are
jeszcze: still
jeziorze: lake
jich: them
jim: them
jo: I
jugo-weschōd: southeast
jugo-zachodowi: southwest
juter: tomorrow
już: already
juž: already
jym: them
jymu: him
jymy: them
kafa: coffee
kafy: coffee
kaj: where
kamieniu: stone
kamiyń: stone
kamrat: friend
kamratami: friends
kamraty: friends
kamratym: friend
kamratōw: friends
kamynie: stones
kandy: where
karcie: map
karta: map
kastanowe: chestnut-colored
kastanowy: chestnut-colored
kierzy: bushes
kim: who
kina: cinema
kluska: dumpling
kogo: whom
komu: to whom
kotu: cat
koło: circle
kości: bones
kościōł: church
kość: bone
kożdy: each
kożdōm: every
kraj: country
kraje: countries
kraju: country
krajôbraz: landscape
kroat: Croat
kroatka: Croat
kroatkōm: Croat
krotko: short
krōtkie: short
ksiónżka: book
ksiónżki: books
kształt: shape
kto: who
ku: to
kucharz: cook
kucharzym: cook
kuchnia: kitchen
kuchnie: kitchen
kulturōm: culture
kupec: buy
kupia: buy
kupiyła: bought
kupić: buy
kupuje: buying
kupujymy: buy
kupujōm: buy
kwadrat: square
kwadrata: square
kwaskawa: sour
kwaskawy: sour
kwiecień: April
kwitnie: blooms
kwitnōm: bloom
kwitnōńć: bloom
kôszkôwka: basketball
kōmpas: compass
kōmpleksno: complex
kōmputry: computers
kōmputyr: computer
kōmpytrōw: computers
kōniowi: horse
kōnsek: piece
kōntroluje: controls
kōnzerwa: can
kōt: cat
kōty: cats
kōtōw: cats
kōń: horse
kōńczy: ends
lampa: lamp
las: forest
lasa: forest
lata: years
lato: summer
lecie: summer
lepsze: better
lepszy: better
lewo: left
leżeć: lie
leży: lies
leżōm: lying
lica: face
liniji: line
linijo: line
lipiec: July
list: letter
listopad: November
listy: letters
liście: leaves
lubi: likes
lubia: love/like
lubisz: love/like
lubiymy: love/like
lubić: love/like
lubiōm: love/like
lubiōmy: love/like
ludzi: people
ludzie: people
ludziōm: people
luft: air
luty: February
lutym: February
ly: light
lyńiwi: lazy
lyńiwy: lazy
maj: May
majōm: have
malować: paint
maluja: paint
maluje: paint
malujymy: paint
mantyl: coat
marzec: March
masła: butter
masło: butter
masłym: butter
matka: mother
matkōm: mother
matymatyka: mathematics
mało: small
mały: small
melōn: melon
metoda: method
mi: me
miana: name
miano: name
mianuja: name
mianuje: names
mianujesz: name
miasta: cities
miastach: cities
miasto: city
miesiōnc: month
miesiōnczek: moon
miesiōńcym: month
mieście: city
milczeć: silent
milczy: silent
mili: miles
minut: minutes
minuta: minute
mioł: had
misce: bowl
miska: bowl
miyndzy: between
miyniajōm: changing
miynke: soft
miyso: meat
miyszko: lives
miyszkomy: live
miłe: pleasant
miłości: love
miłość: love
miły: pleasant
mlyka: milk
mlyko: milk
mnie: me
mo: has
moc: much
mocno: strongly
modre: blue
modro: blue
modry: blue
mogecie: can
moim: my
moja: my
moje: my
mojigo: my
mojōm: my
mokro: wet
mokry: wet
mondre: smart
mondro: smart
mondry: smart
morze: sea
most: bridge
mosta: bridge
mosz: have
moście: bridge
może: can
możno: maybe
mroza: frost
mrōz: frost
muzyka: music
muśki: mouse
my: we
mynij: less
mysz: mouse
myszy: mice
myśli: thinks
mój: my
młode: young
młody: young
mōm: have
mōzg: brain
na: on
nad: over
nale: but
naleśnik: pancake
nami: us
napołniōło: filled
napoły: halfway
narodōw: nations
nas: us
nasz: our
naszymi: our
naturalno: natural
nic: nothing
niedziela: Sunday
niedźwiedziowi: bear
niedźwiedziōm: bear
niedźwiedź: bear
nijaki: no one
niski: low
nisko: low
niy: not
niybie: sky
niybo: sky
niymcach: Germany
niymiec: German
niymiecku: German
niż: than
noc: night
nocy: night
noga: leg
nogi: legs
nojś: find
nosi: wears
nosić: wear
nosił: wore
nosza: wear
nowe: new
nowo: new
nowy: new
noże: knives
nudnŏ: boring
nula: zero
nōsōm: wear
nōz: knife
nōńsi: carries
nōńś: carry
nōż: knife
nōżym: knife
nŏrōd: nation
padajōnce: falling
padać: fall
pado: rains
palec: finger
papjōr: paper
papjōrze: paper
pardon: pardon
parku: park
parōgon: receipt
patelni: pan
patelnia: pan
paździyrnik: October
pełno: full
pełny: full
pies: dog
pije: drinks
pijesz: drinks
pijymy: drink
pisać: write
pisorz: writer
pisza: write
pisze: writes
piszymy: write
piwa: beer
piwo: beer
piykne: beautiful
piyknie: beautifully
piykno: beautiful
piykny: beautiful
piyntnascie: fifteen
piyprz: pepper
piyprzu: pepper
piyrwszy: first
piyrwszyj: first
piywny: beer
piyńtek: Friday
piyńtkym: Friday
piyńć: five
piyńćdziesiōnt: fifty
piyńćset: five hundred
pizza: pizza
pić: drink
piōnto: fifth
piōnty: fifth
piōntyj: fifth
piś: drink
piżama: pajama
pjyro: dumpling
pjyrym: dumpling
plan: plan
po: after
pod: under
podobne: similar
podobny: similar
podpisanany: signed
podstawowe: basic
poduszka: pillow
podłodze: floor
pokazuje: shows
pokazujōm: shows
pokozać: show
pokoże: shows
pokōj: room
policjōnt: policeman
polska: Poland
polski: Polish
polŏk: Pole
polŏkym: Pole
pomiynio: changes
pomiynioć: change
portret: portrait
postrzodku: middle
potrzibować: need
potym: then
powitać: greet
powtōrz: repeat
pozdrōw: greeting
połednie: south
połedniowe: southern
połedniowy: southern
połedniowyj: southern
połedniu: south
połka: shelf
prawdã: truth
probować: try
probuje: trying
prospekt: avenue
prosto: straight
prosty: simple
prosza: please
prowo: right
przed: before
przeprōsz: excuse
przestrašōny: frightened
przi: at/by
przijymne: pleasant
prziniyśe: brings
przymiōt: subject
psowi: dog
psu: dog
psy: dogs
psōw: dogs
ptōk: bird
ptōkowi: bird
ptōkōm: birds
pustŏ: empty
pytać: ask
pyto: asks
pytōm: ask
pólami: fields
płasć: coat
pływanie: swimming
pływać: swim
pływōmy: swim
pōl: field
pōle: field
pōlu: field
pōmogać: help
pōmogo: helps
pōmogła: helped
pōmogōmy: help
pōmŏgali: helped
pōniydziałek: Monday
pōniydziałku: Monday
pōnkt: point
pōłnoc: north
pōłnocno: northern
pōłnocno-zachodni: northwestern
pōłnocny: northern
pōłnocy: north
radijo: radio
rajzować: travel
rajzrkōł: bicycle
rajzrkōła: bicycle
rajzrkōło: bicycle
rajzuje: travels
rano: morning
razy: times
reakcyjo: reaction
rechtōr: teacher
rechtōrka: teacher
rechtōrkōm: teacher
rechtōrym: teacher
regiōn: region
restauracyjo: restaurant
robi: does
robia: do
robili: did
robić: do/make
robiōł: did
robota: work
robotnik: worker
robotny: working
roboto: work
robotowali: worked
robotować: work
roboty: work
rod: kind
rok: year
roku: year
romany: novels
rosnōm: grow
rosnōńć: grow
rosćo: grows
rozbite: broken
rozbity: broken
rozumia: understand
rośńe: grows
rubel: ruble
rublōw: rubles
rus: Russian
ruskij: Russian
rusko: Russian
rusyji: Russia
rusym: Russian
ryba: fish
rybie: fish
rynek: market
ryniu: market
rynka: hand
rynkawiczek: gloves
rynkawiczka: glove
rynkawiczki: gloves
rysować: draw
rysuje: draws
rzecy: things
rzecz: thing
rzeczy: things
rzeka: river
rzyce: river
rzyka: river
rzyki: rivers
rzōńzać: cut
rzōńże: cuts
rōwno: straight
rōwny: straight
rōńczka: pen
rōńczki: pens
rōża: rose
sam: himself
sekund: seconds
sekunda: second
serijo: series
sezōn: season
sezōny: seasons
sezōnym: season
sie: herself
siedym: seven
siedymdziesiōnt: seventy
siedymnascie: seventeen
siedymset: seven hundred
siedzenie: seat
siedzi: sits
siedzieć: sit
siostra: sister
siostrōm: sister
siyrce: heart
siyrpień: August
siyrpniu: August
siōdmy: seventh
siōńdzie: sit
siōńść: sit
skarpeta: sock
skarpety: socks
sklep: shop/store
sklepie: shop/store
sklepu: shop/store
skōmplikowany: complex
skōra: skin
smakowito: tasty
smakowity: tasty
smakowitõ: tasty
smutek: sadness
smutno: sadly
smutny: sad
snoc: maybe
sny: dreams
sobie: himself
sobota: Saturday
sobōm: himself
sok: juice
soku: juice
soli: salt
som: am
spać: sleep
spokojnego: peaceful
sprzedŏwacowi: seller
sprzedŏwać: sell
sprzedŏwca: seller
sprzedŏwŏ: sells
srogi: big
srogo: big
stajni: stable
stara: old
stare: old
staro: old
stary: old
starzik: grandfather
starzikym: grandfather
stawiŏ: stands
sto: hundred
stoji: stands
stojymy: stand
stole: table
stopa: foot
stopy: feet
stoć: stand
stołek: chair
strach: fear
stryk: uncle
strykiym: uncle
strzybrne: silver
strōna: side
strōny: sides
styczeń: January
styczniu: January
stōł: table
stōła: table
stōłym: table
suchajōm: listening
suchać: listen
suche: dry
sukńa: dress
swoja: her
swojōm: her
swój: his
symbol: symbol
syn: son
synek: son
synki: boys
synkōw: sons
synym: son
syr: cheese
syra: cheese
sytuacyjo: situation
szach: chess
szalik: scarf
szczero: sincere
szczery: sincere
szedł: went
szere: grey
szery: grey
szesnascie: sixteen
sześćset: six hundred
sześćsetny: six hundredth
szkoda: pity
szkōła: school
szli: went
szofer: driver
szolka: cup
szolki: cups
szpacer: walk
szporcie: sport
szport: sport
szportowcōw: sports
szportu: sport
szportujōm: sport
szrank: wardrobe
sztadijōn: stadium
sztadijōnie: stadium
sztudyntami: students
sztwŏrty: fourth
sztwŏrtyj: fourth
sztyrnascie: fourteen
sztyry: four
szuflada: drawer
szyja: neck
szyje: sews
szyjesz: sew
szyroke: wide
szyroko: wide
szyć: sew
szyść: six
szyśćdziesiōnt: sixty
szósty: sixth
szóstyj: sixth
szła: went
szło: went
słabe: weak
słaby: weak
słodke: sweet
słodki: sweet
słowa: words
słowian: Slav
słowianym: Slav
słowiańsko: Slavic
słowiańsku: Slavic
słychać: hear
słyszał: heard
słyszy: hears
słōńc: sun
słōńca: suns
słōńce: sun
sōl: salt
sōty: hundredth
t-šyrt: t-shirt
ta: this
tak: yes
talyrz: plate
tam: there
tamta: that
tamto: that
tamtyn: that
tasza: bag
taszy: bag
tańcuja: dance
tańczyć: dance
te: these
tego: that
tej: this
tenis: tennis
terŏz: now
to: to
tobie: you
tobōm: you
torg: market
torgu: market
trenować: train
trenuje: trains
trowa: grass
trwać: last
trwo: last
trza: necessary
trzeći: third
trzećij: third
trzi: three
trzidziesty: thirtieth
trzidzieści: thirty
trzinascie: thirteen
trziôkąt: triangle
trzymać: hold
trzymie: holds
trzysta: three hundred
tusz: ink
twoja: your
twojim: your
twojōm: your
twój: your
ty: you
tych: those
tydnia: week
tydniu: week
tydzień: week
tyj: tea
tyja: tea
tym: this
tymu: him
tyn: this
tysiyczny: thousandth
tysiōnc: thousand
tysiōnce: thousand
tyż: too
u: at
ucho: ear
uchym: ear
uciekać: run away
uciekŏł: ran away
uczeń: student
uczy: teaches
uczycie: teach
uczyjymy: teach
uczymy: teach
uczyć: teach
uczńym: student
uczńōm: students
vlada: vlad
wakyjōm: vacation
wandzi: travels
wandzinek: travel
wandzić: travel
wartki: quick
wartko: quickly
warzi: cooks
warzić: prepare
warzymy: prepare
warzyć: prepare
ważno: important
ważny: important
wcora: yesterday
we: in
weschodni: eastern
weschodnio: eastern
weschodzie: east
weschōd: east
wesoło: cheerful
wesołość: joy
wesoły: joyful
wia: knows
wiater: wind
widlami: forks
widly: fork
widza: see
widzi: sees
widzieć: see
widzisz: see
widzymy: see
wieczerza: dinner
wieczerzy: dinner
wieczorym: evening
wieczōr: evening
wiedzie: knows
wiedzieć: know
wiedzōm: know
wiek: age
wiela: how much
wielge: big
wielgi: big
wielgo: big
wilk: wolf
wilkowi: wolf
wina: wine
winnicy: vineyard
wino: wine
winogrōna: grapes
wiosna: spring
wisi: hangs
wisieć: hang
witejcie: welcome
witoj: hello
wiōńść: bring
wiśnia: cherry
wjedro: bucket
wnet: soon
wnuczka: granddaughter
wnuczkōm: granddaughter
wnuk: grandson
wnukym: grandson
woda: water
wody: water
wos: us
woszo: your
wrzesiyń: September
wrōt: return
wrōtu: return
wstoć: rise
wstyd: shame
wstydliwie: ashamed
wstydliwy: ashamed
wstōwŏ: rises
wszyjsko: everything
wtorek: Tuesday
wy: you
wygodne: comfortable
wygodny: comfortable
wysoki: high
wysoko: high
wysokŏ: tall
wyżej: taller/higher
włos: hair
włosy: hair
wōdki: vodka
wōrszt: sausage
wōrsztu: sausage
ynergije: energy
yno: only
z: from
z/ze: from/with
za: behind
zachodni: western
zachodzi: sets
zachodzie: west
zachōd: west
zadańy: assignment
zadańōw: assignments
zapisek: note
zapisōw: notes
zawiś: hang
zawiśnie: hangs
zawrzōne: closed
zawżdy: always
zdrowe: healthy
zdrowia: health
zdrowie: health
zdrowy: healthy
zdrowy/jo: healthy/hello
ze: from
zegarek: clock/watch
zegarkōw: clocks
zeszyt: notebook
zielōne: green
zielōno: green
zielōny: green
zielōnõ: greener
zima: winter
zimie: winter
zimne: cold
zimno: cold
zimny: cold
zimnŏ: cold
zimōm: winter
ziymi: earth
ziymia: earth
ziymie: earth
zmōncōny: tired
zna: knows
znać: know
znizka: discount
zrozumiuł: understood
zwiyrziu: animal
zwiyrzym: animal
zwiyrzã: animal
zwiōńzać: connect/tie
zwiōńże: connects
złe: bad
zło: bad
zły: angry
ô: about
ôbaczysz: see
ôbiad: lunch
ôblubiōny: favorite
ôblyczynia: clothes
ôblyczyń: clothes
ôblykać: wear
ôblykał: wore
ôblyko: wears
ôbraz: picture
ôbrazy: pictures
ôbryz: circle
ôbuw: footwear
ôbłōczno: cloudy
ôczach: eyes
ôczy: eyes
ôd: from
ôdewrzōne: open
ôdewrzōny: open
ôdpočynku: rest
ôdważnie: brave
ôdważny: brave
ôdwŏżny: brave
ôfis: office
ôglōndajōm: watching
ôglōndać: watch
ôglōndosz: watch
ôglōndōmy: watch
ôgniu: fire
ôgraniczōno: limited
ôjc: father
ôjc/stary: father/old
ôjcym: father
ôkna: windows
ôkno: window
ôko: eye
ôn: he
ôna: she
ône: they
ôni: they
ôno: it
ôpaczny: opposite
ôsmy: eighth
ôsmyj: eighth
ôstatni: last
ôstry: sharp
ôziym: eight
ôziymdziesiōnt: eighty
ôziymnascie: eighteen
ôziymset: eight hundred
ćmawe: dark
ćmawo: dark
ćmawŏ: dark
łapa: hand
łikend: weekend
łyżka: spoon
łóżko: bed
łóżkym: bed
ściana: wall
ścianie: wall
śliwek: plums
śliwka: plum
śliwowica: plum brandy
śmieje: laughs
śmiŏć: laugh
śniodanie: breakfast
śniyg: snow
śniyga: snow
śniygiem: snow
śpi: sleeps
śpiywać: sing
śpiywki: songs
śpiywo: sings
śpiywōm: sings
środa: Wednesday
świat: world
światła: light
światło: light
świecie: world
świyci: shines
świycić: shine
świyży: fresh
źwierciadło: mirror
źwierciadłym: mirror
żaba: frog
żabie: frog
żabōm: frog
żech: I
żechmy: we
żeński: female
żeś: you
żeście: you
żōłte: yellow
żōłto: yellow
żōłty: yellow
żōłōndek: stomach
