а: а
limited: обмежений
line: лінія
listen: слухати
listening: слухає
live: жити
lives: життя
long: довгий
looking: дивлячись
lot: багато
louder: голосніше
love: любов
love/like: любов/подобається
lunch: обід
lying: лежить
made: зроблено
makes: робить
male: чоловічий
man: чоловік
many: багато
map: карта
march: березень
market: ринок
mass: маса
mathematics: математика
may: може
maybe: можливо
maybe/can: можливо/може
me: мене
mean: означає
meat: м'ясо
melon: диня
men: чоловіки
method: метод
middle: середина
midnight: північ
milk: молоко
minute: хвилина
minutes: хвилини
mirror: дзеркало
monday: понеділок
month: місяць
moon: місяць
more: більше
morning: ранок
mother: мати
mountain: гора
mountains: гори
mouse: миша
movies: фільми
much: багато
music: музика
my: мій
myši: миші
name: ім'я
nation: нація
nations: нації
natural: природний
near: біля
nearest: найближчий
necessary: необхідний
need: потреба
needed: потрібно
needs: потребує
new: новий
night: ніч
nine: дев'ять
nineteen: дев'ятнадцять
ninety: дев'яносто
ninth: дев'ятий
no: ні
north: північ
northern: північний
northwestern: північно-західний
nose: ніс
not: не
note: примітка
notebook: зошит
notes: нотатки
nothing: нічого
novels: романи
november: листопад
now: зараз
oak: дуб
october: жовтень
of: з
office: офіс
often: часто
old: старий
on: на
one: один
only: тільки
open: відкритий
or: або
orange: помаранчевий
oranges: апельсини
other: інший
others: інші
our: наш
outline: контур
over: над
paint: фарба
painting: живопис
pajama: піжама
pajamas: піжами
pan: сковорода
pancake: млинець
paper: папір
pardon: вибачте
parent: батько
park: парк
past: минуле
path/way: шлях/дорога
peace: мир
peaceful: мирний
pear: груша
pears: груші
pen: ручка
people: люди
pepper: перець
perhaps: можливо
person: людина
picture: картина
pictures: картини
piece: шматок
pillow: подушка
pity: жалість
pizza: піца
plan: план
plate: тарілка
play: грати
playing: грає
plays: грає
pleasant: приємний
please: будь ласка
plum: слива
plums: сливи
point: точка
poland: польща
pole: поляк
policeman: поліцейський
portrait: портрет
possible: можливий
pot: горщик
prepare: готувати
preparing: готує
price: ціна
proud: гордий
proudly: гордо
put: покласти
putting: кладе
quick: швидкий
quickly: швидко
quiet: тихий
radio: радіо
rain: дощ
raining: дощить
ran: біг
reaction: реакція
read: читати
reading: читання
ready: готовий
receipt: квитанція
red: червоний
region: регіон
regions: регіони
repeat: повторити
rest: відпочинок
restaurant: ресторан
return: повернутися
returns: повертає
rich: багатий
right: праворуч
ripe: стиглий
rise: підніматися
rises: піднімається
river: річка
road: дорога
room: кімната
rose: троянда
ruble: рубль
rubles: рублі
run: бігти
running: біжить
runs: біжить
russia: росія
russian: російський
sad: сумний
sadly: сумний
sadness: смуток
salt: сіль
saturday: субота
sausage: ковбаса
says: каже
scarf: шарф
school: школа
sea: море
season: сезон
seasons: пори року
seat: сидіння
second: другий
seconds: секунди
security: безпека
see: бачити
sees: бачить
sell: продавати
seller: продавець
sells: продає
september: вересень
series: серія
sets: набори
seven: сім
seventeen: сімнадцять
seventh: сьомий
seventy: сімдесят
sew: шити
sewing: шиття
shame: сором
shape: форма
shapes: форми
sharp: гострий
she: вона
shelf: полиця
shine: сяяти
shines: сяє
shining: сяючий
shirt: сорочка
shoe: взуття
shoes: взуття
shop: магазин
shop/store: магазин/крамниця
short: короткий
shorter: коротший
shorts: шорти
show: показати
shows: показує
side: сторона
sides: сторони
signed: підписано
silent: тихий
silver: срібло
similar: схожий
simple: простий
sincere: щирий
sing: співати
singing: співає
sister: сестра
sit: сидіти
sitting: сидить
situation: ситуація
six: шість
sixteen: шістнадцять
sixth: шостий
sixty: шістдесят
skin: шкіра
sky: небо
slav: слов'янин
slavic: слов'янський
sleep: спати
sleeps: спить
small: малий
smart: розумний
smell: запах
smells: пахне
smooth: гладкий
snow: сніг
so: так
sock: шкарпетка
socks: шкарпетки
soft: м'який
sometimes: іноді
son: син
songs: пісні
soon: скоро
soul: душа
sour: кислий
south: південь
southeast: південний схід
southern: південний
southwest: південний захід
speak: говорити
speaks: говорить
speed: швидкість
spirit: дух
spoke: говорив
spoon: ложка
sport: спорт
sports: види спорту
spring: весна
square: квадрат
square/market: площа/ринок
stable: стабільний
stadium: стадіон
stand: стояти
standing: стоїть
stands: стоїть
star: зірка
stars: зірки
station: станція
stays: залишається
still: ще
stomach: шлунок
stone: камінь
stones: камені
stops: зупиняється
straight: прямий
strawberries: полуниця
strawberry: полуниця
street: вулиця
strong: сильний
stronger: сильніший
strongly: сильно
student: студент
students: студенти
stupid: дурний
subject: предмет
suffer: страждати
sugar: цукор
summer: літо
sun: сонце
sunday: неділя
suns: сонця
sure: звичайно
sweet: солодкий
swim: плавати
swimming: плавання
symbol: символ
syr: сир
t-shirt: футболка
table: стіл
talk: говорити
talking: говорить
talks: говорить
tall: високий
taller: вищий
taller/higher: вищий/вищий
talt: тальт
tasty: смачний
tea: чай
teacher: вчитель
tells: каже
ten: десять
tennis: теніс
tenth: десятий
than: ніж
thank: дякую
thanks: дякую
that: той
the: те
their: їхній
them: їх
then: потім
there: там
these: ці
they: вони
thin: тонкий
thing: річ
things: речі
think: думати
thinner: тонший
third: третій
thirteen: тринадцять
thirtieth: тридцятий
thirty: тридцять
this: це
those: ті
thousand: тисяча
thousandth: тисячний
three: три
through: через
thursday: четвер
time: час
times: рази
tired: втомлений
to: до
today: сьогодні
tomorrow: завтра
too: теж
towards: до
traffic: рух
train: поїзд
trains: поїзди
travel: подорож
travels: подорожує
tree: дерево
trees: дерева
tremor: тремтіння
triangle: трикутник
troubling: тривожний
trousers: штани
truth: правда
try: спробувати
trying: намагається
tuesday: вівторок
twelfth: дванадцятий
twelve: дванадцять
twenty: двадцять
two: два
ugly: потворний
uncle: дядько
under: під
understand: розуміти
underwear: спідня білизна
unit: одиниця
universe: всесвіт
until: доки
us: нас
vacation: відпустка
valley: долина
valuable: цінний
very: дуже
vineyard: виноградник
vlad: влад
vodka: горілка
walk: гуляти
walking: прогулянка
wall: стіна
want: хотіти
wardrobe: гардероб
warm: теплий
warms: гріє
was: був
watch: дивитися
watching: дивиться
water: вода
way: шлях
we: ми
weak: слабкий
wear: носити
wearing: носить
wears: носить
weather: погода
wednesday: середа
week: тиждень
weekend: вихідні
welcome: ласкаво просимо
well: добре
went: пішов
went/walked: пішов/гуляв
were: були
west: захід
western: західний
wet: мокрий
what: що
when: коли
where: де
which: який
white: білий
who: хто
wide: широкий
wife: дружина
will: буде
wind: вітер
window: вікно
windows: вікна
wine: вино
winter: зима
wise: мудрий
wiser: мудріший
with: з
within: всередині
without: без
wolf: вовк
woman: жінка
women: жінки
wood: дерево
words: слова
wore: носив
work: робота
worker: працівник
working: працює
works: працює
would: би
write: писати
writer: письменник
writes: пише
writing: написання
year: рік
year's: року
yellow: жовтий
yes: так
yesterday: вчора
you: ви
young: молодий
your: ваш
zero: нуль
